Logradouro/Nome,Bairro/Distrito,Localidade/UF,CEP
Avenida Nossa Senhora da Luz - de 772 a 2370 - lado par,Hugo Lange,Curitiba/PR,80040-265
Rua Coronel Napoleão Marcondes Franca,Hugo Lange,Curitiba/PR,80040-270
Rua Doutor Goulin - de 554/555 ao fim,Juvevê,Curitiba/PR,80040-280
Jardinete Rui Castro dos Santos,Juvevê,Curitiba/PR,80040-285
Travessa João Max Rosener,Hugo Lange,Curitiba/PR,80040-290
Praça Santa Filomena,Hugo Lange,Curitiba/PR,80040-300
Rua Augusto Stresser - de 300/301 a 1150/1151,Juvevê,Curitiba/PR,80040-310
Rua Deputado Carneiro de Campos,Hugo Lange,Curitiba/PR,80040-320
Rua João David Perneta,Hugo Lange,Curitiba/PR,80040-330
Rua Jaime Balão,Hugo Lange,Curitiba/PR,80040-340
Rua Augusto Stresser - de 1152/1153 ao fim,Hugo Lange,Curitiba/PR,80040-345
Rua Menezes Dória,Hugo Lange,Curitiba/PR,80040-350
Rua João Américo de Oliveira - de 561/562 ao fim,Hugo Lange,Curitiba/PR,80040-352
Jardinete Berel Brik,Hugo Lange,Curitiba/PR,80040-360
Praça Soroptimismo Internacional,Hugo Lange,Curitiba/PR,80040-370
Rua Aramis Taborda Athayde,Hugo Lange,Curitiba/PR,80040-380
Jardinete Victo Pavim Johnsson,Hugo Lange,Curitiba/PR,80040-390
Jardinete Poeta Leonardo Henke,Hugo Lange,Curitiba/PR,80040-400
Praça Maria Philomena de Luca Mondrone,Hugo Lange,Curitiba/PR,80040-410
Jardinete Airton Sozzi,Hugo Lange,Curitiba/PR,80040-420
Jardinete Adelina Dutra Sanson,Hugo Lange,Curitiba/PR,80040-430
Jardinete Professor Oswaldo Dória,Hugo Lange,Curitiba/PR,80040-440
Rua Atílio Bório - de 1442 ao fim - lado par,Hugo Lange,Curitiba/PR,80040-445
Rua Fernandes de Barros - de 927/928 ao fim,Hugo Lange,Curitiba/PR,80040-450
Rua Presidente Rodrigo Otávio - de 927/928 ao fim,Hugo Lange,Curitiba/PR,80040-452
Rua Itupava - de 843 ao fim - lado ímpar,Hugo Lange,Curitiba/PR,80040-455
Rua Flávio Dallegrave - de 1621/1622 a 2754/2755,Hugo Lange,Curitiba/PR,80040-460
"Rua Augusto Stresser, 1184 Clique e Retire Correios

AGF Augusto Stresser Clique e Retire",Juvevê,Curitiba/PR,80040-959
"Rua Augusto Stresser, 1184

AGF Augusto Stresser",Juvevê,Curitiba/PR,80040-981
Avenida Sete de Setembro - de 1432 a 1664 - lado par,Alto da Rua XV,Curitiba/PR,80045-000
Rua do Herval - até 364/365,Alto da Rua XV,Curitiba/PR,80045-010
Praça Tenente Ernâni Vidal,Alto da Rua XV,Curitiba/PR,80045-020
Avenida Visconde de Guarapuava - de 1177/1178 a 1494/1495,Alto da Rua XV,Curitiba/PR,80045-030
Jardinete Natálio Santos,Alto da Rua XV,Curitiba/PR,80045-040
Jardinete Desembargador Zeferino Krukoski,Alto da Rua XV,Curitiba/PR,80045-050
Avenida Senador Souza Naves - até 474/475,Alto da Rua XV,Curitiba/PR,80045-060
Rua Reinaldino Schaffenberg de Quadros - até 519/520,Alto da Rua XV,Curitiba/PR,80045-070
Rua Fernando Amaro - até 589/590,Alto da Rua XV,Curitiba/PR,80045-080
Rua Marechal Deodoro - de 1475/1476 a 2085/2086,Alto da Rua XV,Curitiba/PR,80045-090
Rua Ubaldino do Amaral - de 967 a 1475 - lado ímpar,Alto da Rua XV,Curitiba/PR,80045-100
Rua Sete de Abril - até 588/589,Alto da Rua XV,Curitiba/PR,80045-105
Rua Almirante Tamandaré - até 724/725,Alto da Rua XV,Curitiba/PR,80045-110
Rua José de Alencar - de 280/281 a 965/966,Alto da Rua XV,Curitiba/PR,80045-115
Rua Atílio Bório - de 315/316 a 965/966,Alto da Rua XV,Curitiba/PR,80045-120
Rua XV de Novembro - de 1600/1601 a 2230/2231,Alto da Rua XV,Curitiba/PR,80045-125
Rua Dias da Rocha Filho - até 419/420,Alto da Rua XV,Curitiba/PR,80045-130
Rua Professor Brandão - até 355/356,Alto da Rua XV,Curitiba/PR,80045-135
Rua Itupava - até 476 - lado par,Alto da Rua XV,Curitiba/PR,80045-140
Travessa João Prosdócimo,Alto da Rua XV,Curitiba/PR,80045-145
Rua Ubaldino do Amaral - de 431 a 965 - lado ímpar,Alto da Rua XV,Curitiba/PR,80045-150
Rua Amintas de Barros - de 690/691 ao fim,Alto da Rua XV,Curitiba/PR,80045-155
Rua Vinte e Um de Abril - até 354/355,Alto da Rua XV,Curitiba/PR,80045-160
Rua Sete de Abril - de 590/591 a 1034/1035,Alto da Rua XV,Curitiba/PR,80045-165
Rua Almirante Tamandaré - de 726/727 a 1200/1201,Alto da Rua XV,Curitiba/PR,80045-170
Rua José de Alencar - de 967/968 a 1454/1455,Alto da Rua XV,Curitiba/PR,80045-175
Rua Atílio Bório - de 967/968 a 1440/1441,Alto da Rua XV,Curitiba/PR,80045-180
Avenida Sete de Setembro - de 828 a 1430 - lado par,Alto da Rua XV,Curitiba/PR,80045-185
Avenida Senador Souza Naves - de 476/477 a 784/785,Alto da Rua XV,Curitiba/PR,80045-190
Largo Isaac Lazzarotto,Alto da Rua XV,Curitiba/PR,80045-195
Avenida Visconde de Guarapuava - de 607/608 a 1175/1176,Alto da Rua XV,Curitiba/PR,80045-200
Jardinete Cleusa Salomão,Alto da Rua XV,Curitiba/PR,80045-205
Largo José Luvizotti,Alto da Rua XV,Curitiba/PR,80045-210
Rua Reinaldino Schaffenberg de Quadros - de 521/522 a 1079/1080,Alto da Rua XV,Curitiba/PR,80045-215
Jardinete dos Maçons,Alto da Rua XV,Curitiba/PR,80045-220
Rua Paulina Taborda Ribas de Camargo,Alto da Rua XV,Curitiba/PR,80045-225
Rua Fernando Amaro - de 591/592 a 1074/1075,Alto da Rua XV,Curitiba/PR,80045-230
Rua Marechal Deodoro - de 2087/2088 a 2575/2576,Alto da Rua XV,Curitiba/PR,80045-235
Rua Schiller - de 425/426 a 930/931,Alto da Rua XV,Curitiba/PR,80045-240
Rua Padre Germano Mayer - de 511/512 a 930/931,Alto da Rua XV,Curitiba/PR,80045-245
Rua Flávio Dallegrave - até 1119/1120,Alto da Rua XV,Curitiba/PR,80045-250
Rua Zeila Moura dos Santos - de 571/572 ao fim,Alto da Rua XV,Curitiba/PR,80045-255
Rua Camões - de 86/87 a 443/444,Alto da Rua XV,Curitiba/PR,80045-260
Jardinete Aline Cordeiro Parigot de Souza,Alto da Rua XV,Curitiba/PR,80045-265
Rua XV de Novembro - de 2232/2233 a 2750/2751,Alto da Rua XV,Curitiba/PR,80045-270
Rua Dias da Rocha Filho - de 421/422 a 909/910,Alto da Rua XV,Curitiba/PR,80045-275
Rua Professor Brandão - de 357/358 a 840/841,Alto da Rua XV,Curitiba/PR,80045-280
Travessa Kalil Karan,Alto da Rua XV,Curitiba/PR,80045-285
Rua Antônio Mion,Alto da Rua XV,Curitiba/PR,80045-290
Travessa Nelson Gonçalves de Lima,Alto da Rua XV,Curitiba/PR,80045-295
Rua Schiller - de 932/933 a 1415/1416,Alto da Rua XV,Curitiba/PR,80045-300
Rua Itupava - de 478 a 840 - lado par,Alto da Rua XV,Curitiba/PR,80045-305
Rua Padre Germano Mayer - de 932/933 a 1413/1414,Alto da Rua XV,Curitiba/PR,80045-310
Rua Flávio Dallegrave - de 1121/1122 a 1619/1620,Alto da Rua XV,Curitiba/PR,80045-315
Rua Camões - de 445/446 a 919/920,Alto da Rua XV,Curitiba/PR,80045-320
Rua Professor Brandão - de 842/843 ao fim,Alto da Rua XV,Curitiba/PR,80045-325
Rua Itupava - de 842 ao fim - lado par,Alto da Rua XV,Curitiba/PR,80045-330
Rua Dias da Rocha Filho - de 911/912 ao fim,Alto da Rua XV,Curitiba/PR,80045-335
Rua XV de Novembro - de 2752/2753 ao fim,Alto da Rua XV,Curitiba/PR,80045-340
Avenida Visconde de Guarapuava - até 605/606,Alto da Rua XV,Curitiba/PR,80045-345
Jardinete Hipólito Dopieralski,Alto da Rua XV,Curitiba/PR,80045-350
Rua Coronel Assumpção,Alto da Rua XV,Curitiba/PR,80045-355
Avenida Nossa Senhora da Luz - de 2372 ao fim - lado par,Alto da Rua XV,Curitiba/PR,80045-360
Rua Presidente Beaurepaire Rohan - de 691/692 ao fim,Alto da Rua XV,Curitiba/PR,80045-365
Praça das Nações,Alto da Rua XV,Curitiba/PR,80045-370
Rua Marechal Deodoro - de 2577/2578 ao fim,Alto da Rua XV,Curitiba/PR,80045-375
Rua Fernando Amaro - de 1076/1077 a 1439/1440,Alto da Rua XV,Curitiba/PR,80045-380
Avenida Sete de Setembro - até 826 - lado par,Alto da Rua XV,Curitiba/PR,80045-385
Rua Fernandes de Barros - de 165/166 a 924/925,Alto da Rua XV,Curitiba/PR,80045-390
Rua Presidente Rodrigo Otávio - de 245/246 a 925/926,Alto da Rua XV,Curitiba/PR,80045-395
Rua Prefeito Ângelo Ferrário Lopes - de 720/721 a 1328/1329,Alto da Rua XV,Curitiba/PR,80045-400
Rua Fioravante Dalla Stella,Cristo Rei,Curitiba/PR,80050-150
Avenida Senador Souza Naves - de 786/787 ao fim,Cristo Rei,Curitiba/PR,80050-152
Travessa Madre Júlia,Cristo Rei,Curitiba/PR,80050-160
Rua Carlos Gomes do Prado,Cristo Rei,Curitiba/PR,80050-170
Rua Major Ernâni Belmiro Mazalli,Cristo Rei,Curitiba/PR,80050-180
Praça da Polônia,Cristo Rei,Curitiba/PR,80050-190
Rua do Herval - de 366/367 ao fim,Cristo Rei,Curitiba/PR,80050-205
Rua Francisco Alves Guimarães,Cristo Rei,Curitiba/PR,80050-210
Rua Ubaldino do Amaral - de 1477 ao fim - lado ímpar,Cristo Rei,Curitiba/PR,80050-212
Rua José de Alencar - até 278/279,Cristo Rei,Curitiba/PR,80050-240
Praça Poeta Ildefonso Correia de Serro Azul,Cristo Rei,Curitiba/PR,80050-242
Rua Atílio Bório - até 313/314,Cristo Rei,Curitiba/PR,80050-250
Avenida Sete de Setembro - de 829 a 1689 - lado ímpar,Cristo Rei,Curitiba/PR,80050-255
Rua Schiller - até 423/424,Cristo Rei,Curitiba/PR,80050-260
Rua Padre Germano Mayer - até 509/510,Cristo Rei,Curitiba/PR,80050-270
Praça Cecília do Rego Almeida,Cristo Rei,Curitiba/PR,80050-272
Rua Camões - até 84/85,Cristo Rei,Curitiba/PR,80050-290
Praça Carlos Filizola,Cristo Rei,Curitiba/PR,80050-300
Rua Fernandes de Barros - até 163/164,Cristo Rei,Curitiba/PR,80050-310
Jardinete Henrique Knopfholz,Cristo Rei,Curitiba/PR,80050-312
Avenida Sete de Setembro - até 827 - lado ímpar,Cristo Rei,Curitiba/PR,80050-315
Rua Presidente Rodrigo Otávio - até 243/244,Cristo Rei,Curitiba/PR,80050-320
Rua Prefeito Ângelo Ferrário Lopes - até 718/719,Cristo Rei,Curitiba/PR,80050-330
Praça Ercílio Slaviero,Cristo Rei,Curitiba/PR,80050-332
Rua Presidente Beaurepaire Rohan - até 689/690,Cristo Rei,Curitiba/PR,80050-345
Avenida São José,Cristo Rei,Curitiba/PR,80050-350
Rua Poeta Francisco Ferreira Leite,Cristo Rei,Curitiba/PR,80050-360
Avenida Presidente Affonso Camargo - de 570/571 a 2918/2919,Cristo Rei,Curitiba/PR,80050-370
Rua Sanito Rocha,Cristo Rei,Curitiba/PR,80050-380
Rua Eduardo Aguirre Calabresi,Cristo Rei,Curitiba/PR,80050-390
Rua dos Palotinos,Cristo Rei,Curitiba/PR,80050-400
Rua Doutor Leônidas do Amaral Ferreira,Cristo Rei,Curitiba/PR,80050-410
Rua Humberto Morona,Cristo Rei,Curitiba/PR,80050-420
Rua Tocantins,Cristo Rei,Curitiba/PR,80050-430
