Logradouro,Bairro,Cidade,CEP
Rua Antonio Luiz Antonini,Santos Dumont,Chapecó/SC,89815-354
Rua Robison Jorge Ignácio Gonçalves,Santos Dumont,Chapecó/SC,89815-355
Rua Jadir Zaconi,Santos Dumont,Chapecó/SC,89815-356
Rua Raul Alberto Antonini,Santos Dumont,Chapecó/SC,89815-357
Rua Fernanda Cuchi,Santos Dumont,Chapecó/SC,89815-358
Rua Anacleto Zanini,Santos Dumont,Chapecó/SC,89815-359
Rua Olívio Izidoro Dall rosa,Santos Dumont,Chapecó/SC,89815-360
Rua José Rotava (Loteamento Reserva dos Pinhais IV),Santos Dumont,Chapecó/SC,89815-364
Rua Daví Barela Dávi (Loteamento Real Park),Santos Dumont,Chapecó/SC,89815-365
Rua Orestes Zanini (Loteamento Reserva dos Pinhais IV),Santos Dumont,Chapecó/SC,89815-366
Rua Arlindo Dalchiavon (Loteamento Real Park),Santos Dumont,Chapecó/SC,89815-367
Rua Ivo Halves Paixão (Loteamento Reserva dos Pinhais IV),Santos Dumont,Chapecó/SC,89815-368
Rua José de Sousa Duarte Neto,Santos Dumont,Chapecó/SC,89815-380
Rua João Eloi Mendes - D - de 341/342 ao fim,Santo Antônio,Chapecó/SC,89815-400
Rua Vicente Cunha - até 1394 - lado par,Santo Antônio,Chapecó/SC,89815-405
Rua Paraná,Santo Antônio,Chapecó/SC,89815-410
Rua Maranhão,Santo Antônio,Chapecó/SC,89815-420
Travessa Men de Sá,Santo Antônio,Chapecó/SC,89815-430
Rua Guerino Nadaletti,Santo Antônio,Chapecó/SC,89815-432
Rua Rio Grande do Sul,Santo Antônio,Chapecó/SC,89815-435
Rua Santa Catarina,Santo Antônio,Chapecó/SC,89815-440
Rua Ricardo Tomazini,Santo Antônio,Chapecó/SC,89815-445
Rua Ventura Migliorini,Santo Antônio,Chapecó/SC,89815-450
Travessa Goio-En,Santo Antônio,Chapecó/SC,89815-455
Rua Figueira,Santo Antônio,Chapecó/SC,89815-460
Acesso Ibirajara Raupp,Santo Antônio,Chapecó/SC,89815-463
Acesso José Rodolfo Travi,Santo Antônio,Chapecó/SC,89815-468
Rua Alberto Mayer,Santo Antônio,Chapecó/SC,89815-470
Rua Rodolfo Fin,Santo Antônio,Chapecó/SC,89815-480
Rua Rio Grande do Norte,Santo Antônio,Chapecó/SC,89815-500
Rua Acre,Santo Antônio,Chapecó/SC,89815-510
Rua Rondônia,Santo Antônio,Chapecó/SC,89815-520
Travessa Guerino Marca,Santo Antônio,Chapecó/SC,89815-525
Rua Piauí,Santo Antônio,Chapecó/SC,89815-530
Rua Belém,Santo Antônio,Chapecó/SC,89815-540
Travessa Ouro Preto,Santo Antônio,Chapecó/SC,89815-545
Rua Amapá,Santo Antônio,Chapecó/SC,89815-550
Rua Goiás,Santo Antônio,Chapecó/SC,89815-560
Rua Manaus,Santo Antônio,Chapecó/SC,89815-570
Rua Umberto Barki,Santo Antônio,Chapecó/SC,89815-575
Rua Caetano Roberto Panarotto,Santo Antônio,Chapecó/SC,89815-580
Servidão Luiz Colombi,Santo Antônio,Chapecó/SC,89815-585
Servidão Luiz Palma,Santo Antônio,Chapecó/SC,89815-590
Rua Albino de Campos Coletti,Santo Antônio,Chapecó/SC,89815-600
Rua Eurico da Silveira,Santo Antônio,Chapecó/SC,89815-610
Rua Marcos Arlindo Trombetta,Santo Antônio,Chapecó/SC,89815-620
Rua Beloni Trombeta Zanin,Santo Antônio,Chapecó/SC,89815-630
Rua Nestor Lourenço Fernandes,Santo Antônio,Chapecó/SC,89815-632
Rua Teulide Rossetto dos Santos (Loteamento Horizontes Azuis III),Santo Antônio,Chapecó/SC,89815-634
Rua Alcindo Moreira Martins,Santo Antônio,Chapecó/SC,89815-635
Rua Ivete Maria Cunico (Loteamento Horizontes Azuis III),Santo Antônio,Chapecó/SC,89815-636
Rua Marcos Aiolfi,Santo Antônio,Chapecó/SC,89815-640
Rua Adão Batista (Lot Primavera),Santo Antônio,Chapecó/SC,89815-642
Rua Anoar Berghahn (Lot Primavera),Santo Antônio,Chapecó/SC,89815-644
Rua Rozilde dos Reis (Lot Primavera),Santo Antônio,Chapecó/SC,89815-646
Rua Luiz Santa Catarina (Lot Primavera),Santo Antônio,Chapecó/SC,89815-650
Rua Adriano Aducides Figueiró (Lot Primavera),Santo Antônio,Chapecó/SC,89815-652
Rua José Olivar de Brito (Lot Primavera),Santo Antônio,Chapecó/SC,89815-655
Rua Dona Brazilia Siqueira Ventura,Santo Antônio,Chapecó/SC,89815-657
Rua Mansueto Tirelli,Santo Antônio,Chapecó/SC,89815-658
Rua Clara Puhl Bernardi,Santo Antônio,Chapecó/SC,89815-659
"Acesso Florenal Ribeiro, s/n

Aeroporto Municipal Doutor Serafim Ennos Bertaso",Quedas do Palmital,Chapecó/SC,89815-900
Rua Arvelino Dias,Centro (Marechal Bormann),Chapecó/SC,89816-102
Rua Eugênio Volpato,Centro (Marechal Bormann),Chapecó/SC,89816-112
"Rodovia SC-480 - do km 142,000 ao km 142,999",Centro (Marechal Bormann),Chapecó/SC,89816-116
"Rodovia SC-480 - do km 143,000 ao km 143,999",Centro (Marechal Bormann),Chapecó/SC,89816-118
"Rodovia SC-480 - do km 144,000 ao km 144,999",Centro (Marechal Bormann),Chapecó/SC,89816-120
"Rodovia SC-480 - do km 145,000 ao km 145,999",Centro (Marechal Bormann),Chapecó/SC,89816-122
"Rodovia SC-480 - do km 146,000 ao km 146,999",Centro (Marechal Bormann),Chapecó/SC,89816-124
"Rodovia SC-480 - do km 147,000 ao km 147,999",Centro (Marechal Bormann),Chapecó/SC,89816-126
"Rodovia SC-480 - do km 148,000 ao km 148,999",Centro (Marechal Bormann),Chapecó/SC,89816-128
Rua João Antunes de Almeida,Centro (Marechal Bormann),Chapecó/SC,89816-130
Rua Teixeira Dutra,Centro (Marechal Bormann),Chapecó/SC,89816-132
Rua Antônio Evangelista Coelho,Centro (Marechal Bormann),Chapecó/SC,89816-134
Rua Antônio Carlos Scheffer Sobrinho,Centro (Marechal Bormann),Chapecó/SC,89816-136
Servidão Jair Dias,Centro (Marechal Bormann),Chapecó/SC,89816-138
Rua Ernesto Ribas,Centro (Marechal Bormann),Chapecó/SC,89816-140
Avenida Quinze de Novembro,Centro (Marechal Bormann),Chapecó/SC,89816-141
Rua Sebastião Machado,Centro (Marechal Bormann),Chapecó/SC,89816-142
Rua Miguel Pedro Schmitz,Centro (Marechal Bormann),Chapecó/SC,89816-145
Rua João Sebastião,Centro (Marechal Bormann),Chapecó/SC,89816-148
Rua João Vicente Costa,Centro (Marechal Bormann),Chapecó/SC,89816-150
Rua Nenê Bernardino,Centro (Marechal Bormann),Chapecó/SC,89816-156
Rua Antonio Schmitz,Centro (Marechal Bormann),Chapecó/SC,89816-158
Rua Vitório Marca,Centro (Marechal Bormann),Chapecó/SC,89816-160
Rua Quadros,Centro (Marechal Bormann),Chapecó/SC,89816-166
Rua Manoel Gregório Mattos,Centro (Marechal Bormann),Chapecó/SC,89816-170
Servidão Carlos Raimundo Rohr,Centro (Marechal Bormann),Chapecó/SC,89816-172
Rua Telmo Scheffer (Loteamento Scheffer),Centro (Marechal Bormann),Chapecó/SC,89816-174
Rua Lurdes Scheffer (Loteamento Scheffer),Centro (Marechal Bormann),Chapecó/SC,89816-176
Rua Augusta Pretto (Loteamento Scheffer),Centro (Marechal Bormann),Chapecó/SC,89816-178
Rua Mitico Yamakawa (Loteamento Scheffer),Centro (Marechal Bormann),Chapecó/SC,89816-180
Rua João Soari Scheffer (Loteamento Scheffer),Centro (Marechal Bormann),Chapecó/SC,89816-182
Servidão Gabriel Dutra,Centro (Marechal Bormann),Chapecó/SC,89816-186
Servidão Augusto Leôncio Wundervald,Centro (Marechal Bormann),Chapecó/SC,89816-188
Rua Afonso Scheffer,Centro (Marechal Bormann),Chapecó/SC,89816-190
Rua João Beijamim Dorigoni,Centro (Marechal Bormann),Chapecó/SC,89816-193
Rua Evandro Shoeninger,Centro (Marechal Bormann),Chapecó/SC,89816-194
Rua Manoel Augusto Bays,Centro (Marechal Bormann),Chapecó/SC,89816-196
Rua Arlindo Figueiró,Centro (Marechal Bormann),Chapecó/SC,89816-197
Rua Augusto Dias,Centro (Marechal Bormann),Chapecó/SC,89816-199
"Rua Nenê Bernardino, s/n

AGC Marechal Bormann",Centro (Marechal Bormann),Chapecó/SC,89816-970
